link,code,Precio,Baños,Área,Habitaciones,Garajes,Closets,Municipio,Barrio,Extraction Date
https://www.lalonjapropiedadraiz.com/inmueble/10565/Venta/,10565,"$215,000,000",2,54m,2,0,2,Bello,Mirador,2026-03-27
https://www.lalonjapropiedadraiz.com/inmueble/10730/Venta/,10730,"$250,000,000",2,56m,3,0,3,Bello,Trapiche,2026-03-27
https://www.lalonjapropiedadraiz.com/inmueble/10729/Venta/,10729,"$250,000,000",2,56m,3,0,3,Bello,Trapiche,2026-03-27
https://www.lalonjapropiedadraiz.com/inmueble/10925/Venta/,10925,"$250,000,000",1,56m,3,0,2,Bello,Villas Del Sol,2026-03-27
https://www.lalonjapropiedadraiz.com/inmueble/9473/Venta/,9473,"$270,000,000",1,72m,3,0,2,Bello,Obrero,2026-03-27
https://www.lalonjapropiedadraiz.com/inmueble/10205/Venta/,10205,"$280,000,000",1,66m,3,0,3,Medellín,Manrique,2026-03-27
https://www.lalonjapropiedadraiz.com/inmueble/6370/Venta/,6370,"$290,000,000",2,63m,3,1,3,Bello,Navarra,2026-03-27
https://www.lalonjapropiedadraiz.com/inmueble/10976/Venta/,10976,"$315,000,000",2,51m,2,0,2,Rionegro,Rionegro,2026-03-27
https://www.lalonjapropiedadraiz.com/inmueble/8787/Venta/,8787,"$335,000,000",3,155m,3,0,0,Medellín,Boston,2026-03-27
https://www.lalonjapropiedadraiz.com/inmueble/10113/Venta/,10113,"$345,000,000",2,62m,2,1,2,Itagüí,Ditaires,2026-03-27
https://www.lalonjapropiedadraiz.com/inmueble/10163/Venta/,10163,"$495,000,000",3,139m,4,2,3,Bello,Cabañas,2026-03-27
https://www.lalonjapropiedadraiz.com/inmueble/10795/Venta/,10795,"$575,000,000",2,86m,3,1,3,Medellín,Guayabal,2026-03-27
